session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,BOR,-13.0,-15.5,-0.0209,0.0,0.2667,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,BOT,-1.5,0.5,0.0166,0.0,0.1333,0.55,ALO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,COL,-8.0,-10.0,-0.0167,0.0,0.2667,0.55,COL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,GAS,-10.5,-13.5,-0.025,0.0,0.2667,0.55,GAS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,HAD,-11.5,-14.0,-0.0209,0.0,0.6667,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,HAM,-7.5,-7.5,0.0,0.0,0.4,0.55,HAM
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,HUL,-11.5,-15.0,-0.0292,0.0,0.4,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,LAW,-13.5,-17.0,-0.0292,0.0,0.2667,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,LEC,-8.0,-8.5,-0.0042,0.0,0.2667,0.55,LEC
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,LIN,-13.0,-18.5,-0.0459,0.0,0.5333,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,NOR,-11.0,-12.0,-0.0084,0.0,0.1333,0.55,NOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,OCO,-10.5,-15.5,-0.0417,0.0,0.2667,0.55,OCO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,PER,-7.0,-10.0,-0.025,0.0,0.5333,0.55,PER
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,PIA,-8.0,-8.0,0.0,0.0,0.1333,0.55,PIA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,RUS,-14.0,-16.5,-0.0209,0.0,0.5333,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,ANT,-14.0,-6.0,0.0083,0.0,0.1333,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,BEA,-16.0,-10.5,0.0083,0.0,-0.1333,0.55,BEA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,BOR,-17.0,-10.0,0.0083,0.0,0.1333,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,BOT,-1.0,6.0,0.0083,0.0,-0.1333,0.55,ALO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,COL,-10.5,-3.5,0.0083,0.0,-0.1333,0.55,COL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,GAS,-15.0,-7.0,0.0083,0.0,0.1333,0.55,GAS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,HAD,-16.0,-10.0,0.0083,0.0,0.0,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,HAM,-8.0,-2.5,0.0083,0.0,-0.1333,0.55,HAM
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,HUL,-21.0,-15.5,0.0083,0.0,0.0,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALO,LAW,-18.0,-11.5,0.0083,0.0,0.0,0.55,LAW
